ID,AREA,ELEVATION,LATITUDE,LONGITUDE,BASIN_ID,LAND_USE_CLASS,VEG_CLASS,SOIL_PROFILE,AQUIFER_PROFILE,TERRAIN_CLASS,SLOPE,ASPECT,harvest_year,burn_year,forest_class
250,0.0428,1557,49.6917,-118.9648,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,209,0,1930,ESSF
251,9.668,1607,49.7095,-118.9834,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],7,189,0,0,ESSF
252,0.0135,1644,49.7152,-118.933,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],12,242,2021,0,ESSF
253,0.0043,1648,49.7146,-118.937,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,193,1992,0,ESSF
254,0.0239,1642,49.7157,-118.9317,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],10,200,0,0,ESSF
255,6e-4,1684,49.707,-119.0478,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],0,0,1977,0,ESSF
256,0.0012,1692,49.7122,-119.0269,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],20,191,0,1938:1960,ESSF
257,0.148,1683,49.72,-118.9162,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,197,2021,0,ESSF
258,0.4208,1726,49.7104,-118.9587,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,225,2020,0,ESSF
259,0.2765,1671,49.7047,-118.9773,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,105,2019,0,ESSF
260,0.0202,1688,49.7232,-119.0236,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,272,2018,1960,ESSF
261,0.0104,1657,49.7135,-119.022,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],14,283,2018,1938,ESSF
262,0.6019,1692,49.7133,-118.9852,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,211,2018,0,ESSF
263,0.1321,1691,49.7266,-119.007,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,116,2013,0,ESSF
264,0.0055,1742,49.7362,-119.0069,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,79,2005,0,ESSF
265,0.5413,1684,49.7349,-119.0273,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],7,272,2002,0,ESSF
266,0.0012,1678,49.7389,-119.0177,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],7,100,2001,0,ESSF
267,0.0116,1692,49.7222,-119.024,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],15,285,2000,1960,ESSF
268,0.0966,1664,49.7183,-119.0224,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],12,268,2000,1938,ESSF
269,0.0116,1682,49.7163,-119.0235,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],18,284,2000,1938:1960,ESSF
270,0.0385,1672,49.7217,-119.0222,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],11,268,2000,0,ESSF
271,0.0018,1652,49.7087,-119.0284,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],16,219,1999,1960,ESSF
272,0.0067,1660,49.7073,-119.0319,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],16,238,1999,0,ESSF
273,0.0765,1668,49.7265,-118.9883,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,237,1998,0,ESSF
274,0.2074,1666,49.712,-118.9438,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,230,1992,0,ESSF
275,0.0037,1712,49.7397,-119.0325,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],4,94,1984,0,ESSF
276,0.0147,1736,49.7354,-119.0358,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,326,1983,0,ESSF
277,0.0086,1708,49.7238,-118.9043,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],4,195,1979,0,ESSF
278,0.0758,1705,49.7069,-119.0452,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,118,1977,0,ESSF
279,0.0232,1689,49.7195,-118.9044,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],3,135,1976,0,ESSF
280,0.0691,1698,49.7141,-119.028,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],14,235,0,1960,ESSF
281,0.1566,1685,49.7135,-119.025,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],11,243,0,1938,ESSF
282,0.3425,1705,49.7136,-119.0269,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],14,238,0,1938:1960,ESSF
283,7.8434,1691,49.7184,-118.9853,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,193,0,0,ESSF
284,0.1321,1701,49.7189,-118.9288,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,210,2021,0,ESSF
285,0.0128,1715,49.7148,-118.9484,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,193,2020,0,ESSF
286,0.0098,1671,49.7146,-118.9409,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,221,1992,0,ESSF
287,0.8845,1711,49.7188,-118.9319,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],11,207,0,0,ESSF
288,0.022,1827,49.7268,-118.9239,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],22,161,0,0,ESSF
289,0.0184,1810,49.7217,-118.9372,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],22,198,0,0,ESSF
290,0.1297,1802,49.7177,-118.9595,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,137,2021,0,ESSF
291,0.274,1764,49.7105,-118.9631,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,185,2020,0,ESSF
292,0.0061,1751,49.7075,-118.96,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,228,2018,0,ESSF
293,0.03,1765,49.7297,-119.0036,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],9,121,2013,0,ESSF
294,0.0012,1752,49.736,-119.0062,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],13,64,2005,0,ESSF
295,0.0024,1754,49.7345,-119.0369,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],6,338,1983,0,ESSF
296,0.0404,1786,49.7193,-119.0291,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],8,258,0,1960,ESSF
297,0.0135,1765,49.7185,-119.0273,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],14,267,0,1938,ESSF
298,0.1077,1771,49.7163,-119.0289,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,244,0,1938:1960,ESSF
299,2.7336,1793,49.7253,-118.9647,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,205,0,0,ESSF
300,0.0275,1779,49.7259,-118.9165,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],13,227,2021,0,ESSF
301,0.9328,1797,49.7242,-118.9268,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],13,210,0,0,ESSF
302,0.0092,1862,49.7257,-118.93,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],22,196,0,0,ESSF
303,0.0171,1907,49.7246,-118.9376,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],25,214,0,0,ESSF
304,1.1946,1899,49.7346,-118.9207,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],12,185,0,0,ESSF
305,0.7028,1898,49.7279,-118.9283,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],16,218,0,0,ESSF
306,6e-4,2040,49.747,-118.9183,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],0,0,0,0,ESSF
307,0.0324,2026,49.7442,-118.921,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],26,204,0,0,ESSF
308,0.0073,2001,49.7327,-118.9308,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],25,214,0,0,ESSF
309,0.148,2005,49.7444,-118.9187,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],14,225,0,0,ESSF
310,0.3639,1972,49.7396,-118.9207,1,FOREST_ESSF,FOREST_ESSF,SOIL,[NONE],[NONE],10,259,0,0,ESSF
311,0.9059,2004,49.7334,-118.9291,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],14,227,0,0,ESSF
312,0.0037,2043,49.7374,-118.9244,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],29,319,0,0,ESSF
313,0.082,2107,49.7448,-118.9247,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],32,203,0,0,ESSF
314,0.0226,2081,49.7413,-118.9274,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],24,198,0,0,ESSF
315,0.0239,2088,49.7457,-118.9207,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],24,242,0,0,ESSF
316,0.5964,2096,49.7369,-118.9317,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],16,221,0,0,ESSF
317,0.0355,2084,49.7384,-118.9275,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],30,323,0,0,ESSF
318,0.0538,2183,49.7452,-118.9277,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],35,204,0,0,ESSF
319,0.0306,2199,49.7452,-118.9289,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],24,242,0,0,ESSF
320,0.2893,2191,49.7391,-118.935,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],18,204,0,0,ESSF
321,0.0012,2254,49.7445,-118.9334,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],43,239,0,0,ESSF
322,0.0184,2292,49.7442,-118.9343,1,ALPINE,ALPINE,SOIL,[NONE],[NONE],26,262,0,0,ESSF
323,0.0343,2268,49.7419,-118.9344,1,SHRUB,SHRUB,SOIL,[NONE],[NONE],21,219,0,0,ESSF
